% time	cellId	IMSI	RNTI	rsrp	sinr
2.85721	1	4	3	6.46334e-11	2.56101
2.85721	1	5	4	6.52997e-11	2.63699
2.85821	1	1	2	6.21426e-11	2.32305
2.85821	1	2	6	6.30471e-11	2.4035
2.85821	1	3	1	6.38791e-11	2.4829
2.85821	1	4	3	6.46317e-11	2.56082
2.85821	1	5	4	6.52984e-11	2.63683
2.85921	1	1	2	6.21393e-11	2.32276
2.85921	1	2	6	6.30444e-11	2.40325
2.85921	1	3	1	6.38769e-11	2.48268
2.85921	1	4	3	6.46299e-11	2.56063
2.85921	1	5	4	6.52971e-11	2.63667
2.86021	1	1	2	6.2136e-11	2.32248
2.86021	1	2	6	6.30417e-11	2.40299
2.86021	1	3	1	6.38747e-11	2.48246
2.86021	1	4	3	6.46282e-11	2.56044
2.86021	1	5	4	6.52957e-11	2.63652
2.86121	1	1	2	6.21327e-11	2.3222
2.86121	1	2	6	6.30389e-11	2.40274
2.86121	1	3	1	6.38725e-11	2.48223
2.86121	1	4	3	6.46264e-11	2.56025
2.86121	1	5	4	6.52944e-11	2.63636
2.86221	1	1	2	6.21294e-11	2.32192
2.86221	1	2	6	6.30362e-11	2.40249
2.86221	1	3	1	6.38702e-11	2.48201
2.86221	1	4	3	6.46247e-11	2.56006
2.86221	1	5	4	6.52931e-11	2.6362
2.86321	1	1	2	6.21261e-11	2.32163
2.86321	1	2	6	6.30334e-11	2.40224
2.86321	1	3	1	6.3868e-11	2.48179
2.86321	1	4	3	6.4623e-11	2.55987
2.86321	1	5	4	6.52918e-11	2.63605
2.86421	1	1	2	6.21229e-11	2.32135
2.86421	1	2	6	6.30307e-11	2.40199
2.86421	1	3	1	6.38658e-11	2.48157
2.86421	1	4	3	6.46212e-11	2.55969
2.86421	1	5	4	6.52905e-11	2.63589
2.86521	1	1	2	6.21196e-11	2.32107
2.86521	1	2	6	6.3028e-11	2.40173
2.86521	1	3	1	6.38636e-11	2.48135
2.86521	1	4	3	6.46195e-11	2.5595
2.86521	1	5	4	6.52892e-11	2.63573
2.86621	1	1	2	6.21163e-11	2.32078
2.86621	1	2	6	6.30252e-11	2.40148
2.86621	1	3	1	6.38613e-11	2.48113
2.86621	1	4	3	6.46177e-11	2.55931
2.86621	1	5	4	6.52879e-11	2.63557
2.86721	1	1	2	6.2113e-11	2.3205
2.86721	1	2	6	6.30225e-11	2.40123
2.86721	1	3	1	6.38591e-11	2.48091
